timestamp,episode,step,elapsed,state,action,reward,done,success
1771365542.7830963,5,16,1.0007717609405518,"[0.9725371599197388, 0.2327476441860199, 0.8861740827560425, -0.46335241198539734, -0.6358289122581482, 0.2797805964946747]",1,-1.0,False,False
1771365542.8397796,5,17,1.057455062866211,"[0.9970600008964539, 0.0766245424747467, 0.9354904294013977, -0.35335204005241394, -0.9115498661994934, 0.8859903812408447]",1,-1.0,False,False
1771365542.8977718,5,18,1.1154472827911377,"[0.9936243295669556, -0.11274157464504242, 0.988771915435791, -0.14943253993988037, -0.9406981468200684, 1.1592566967010498]",1,-1.0,False,False
1771365542.9580016,5,19,1.1756770610809326,"[0.960749089717865, -0.2774188220500946, 0.9973080158233643, 0.07332592457532883, -0.700090765953064, 1.0090465545654297]",1,-1.0,False,False
1771365543.0210767,5,20,1.2387521266937256,"[0.9289407134056091, -0.3702285885810852, 0.9734353423118591, 0.22896210849285126, -0.258609801530838, 0.5289498567581177]",1,-1.0,False,False
1771365543.0780745,5,21,1.2957499027252197,"[0.928894579410553, -0.37034425139427185, 0.962291419506073, 0.2720206081867218, 0.25798630714416504, -0.0902305543422699]",1,-1.0,False,False
1771365543.1351593,5,22,1.352834701538086,"[0.9610385894775391, -0.27641424536705017, 0.9804024696350098, 0.19700521230697632, 0.7138862609863281, -0.6564385890960693]",1,-1.0,False,False
1771365543.193579,5,23,1.4112544059753418,"[0.9943293333053589, -0.10634435713291168, 0.9995622038841248, 0.029587099328637123, 0.9812934398651123, -0.9749622941017151]",1,-1.0,False,False
1771365543.2575538,5,24,1.475229263305664,"[0.9956100583076477, 0.09359815716743469, 0.9864631295204163, -0.1639830619096756, 0.9745448231697083, -0.9012781381607056]",1,-1.0,False,False
1771365543.3184094,5,25,1.5360848903656006,"[0.9651100635528564, 0.2618445158004761, 0.9536572098731995, -0.30089518427848816, 0.6997984647750854, -0.46042925119400024]",1,-1.0,False,False
1771365543.375773,5,26,1.5934484004974365,"[0.9353570342063904, 0.3537050485610962, 0.9442673921585083, -0.3291793465614319, 0.24747805297374725, 0.17743346095085144]",1,-1.0,False,False
1771365543.431847,5,27,1.6495225429534912,"[0.9357671737670898, 0.352618545293808, 0.9726431369781494, -0.23230445384979248, -0.2558152377605438, 0.815796971321106]",1,-1.0,False,False
1771365543.4893558,5,28,1.70703125,"[0.9651105999946594, 0.2618425488471985, 0.999752938747406, -0.02222687005996704, -0.6730881333351135, 1.2567087411880493]",1,-1.0,False,False
1771365543.5448704,5,29,1.7625458240509033,"[0.9944649338722229, 0.10506919026374817, 0.970841646194458, 0.23972177505493164, -0.8829078674316406, 1.314038872718811]",1,-1.0,False,False
1771365543.6015396,5,30,1.8192150592803955,"[0.997508704662323, -0.07054327428340912, 0.8900094628334045, 0.4559420943260193, -0.8348824381828308, 0.9356208443641663]",1,-1.0,False,False
1771365543.657639,5,31,1.875314474105835,"[0.9772843718528748, -0.21193213760852814, 0.8280329704284668, 0.5606793761253357, -0.5643243193626404, 0.24710340797901154]",1,-1.0,False,False
1771365543.7142003,5,32,1.9318757057189941,"[0.9592103958129883, -0.28269317746162415, 0.8453118801116943, 0.5342732071876526, -0.1513967365026474, -0.5677345991134644]",1,-1.0,False,False
1771365543.7684388,5,33,1.986114263534546,"[0.9633128643035889, -0.2683810293674469, 0.9316643476486206, 0.3633202016353607, 0.29417356848716736, -1.322310447692871]",1,-1.0,False,False
1771365543.82619,5,34,2.043865442276001,"[0.9845067262649536, -0.1753469556570053, 0.9985326528549194, 0.05415309965610504, 0.6299030780792236, -1.784622073173523]",1,-1.0,False,False
1771365543.8890004,5,35,2.106675863265991,"[0.9993562698364258, -0.035874780267477036, 0.9532157778739929, -0.30229073762893677, 0.7316510081291199, -1.7393380403518677]",1,-1.0,False,False
1771365543.9517763,5,36,2.1694517135620117,"[0.9949902892112732, 0.09997136145830154, 0.8205153346061707, -0.5716245174407959, 0.5964030623435974, -1.212375521659851]",1,-1.0,False,False
1771365544.019073,5,37,2.236748456954956,"[0.9815341830253601, 0.1912868171930313, 0.7151418328285217, -0.6989793181419373, 0.30947378277778625, -0.41541051864624023]",1,-1.0,False,False
1771365544.0831587,5,38,2.3008341789245605,"[0.9761048555374146, 0.217300146818161, 0.7188979387283325, -0.6951156258583069, -0.04948488250374794, 0.4723357856273651]",1,-1.0,False,False
1771366601.9744546,7,1,0.024545907974243164,"[0.9999364018440247, 0.011279287748038769, 0.9995189905166626, 0.031013038009405136, -0.07707323879003525, -0.01987338252365589]",1,-1.0,False,False
1771366602.0348294,7,2,0.08492064476013184,"[0.9999906420707703, -0.004319323226809502, 0.9996991753578186, 0.024527613073587418, -0.07595781981945038, -0.04627345874905586]",1,-1.0,False,False
1771366602.0956793,7,3,0.14577054977416992,"[0.999838650226593, -0.01796231046319008, 0.9999257326126099, 0.012188035994768143, -0.05812007188796997, -0.07707531005144119]",1,-1.0,False,False
1771366602.156654,7,4,0.20674514770507812,"[0.999640941619873, -0.02679525688290596, 0.9999822378158569, -0.005964873358607292, -0.02903561107814312, -0.1026376336812973]",1,-1.0,False,False
1771366602.2187736,7,5,0.26886487007141113,"[0.9995692372322083, -0.029348881915211678, 0.9996134042739868, -0.027803048491477966, 0.0033008698374032974, -0.1123710498213768]",1,-1.0,False,False
1771366602.2805958,7,6,0.3306870460510254,"[0.9996668696403503, -0.02580902725458145, 0.998784601688385, -0.0492878295481205, 0.030711963772773743, -0.09838230162858963]",1,-1.0,False,False
1771366602.3431168,7,7,0.39320802688598633,"[0.9998412132263184, -0.01781919039785862, 0.9978621602058411, -0.06535341590642929, 0.04708851873874664, -0.05855923518538475]",1,-1.0,False,False
1771366602.4058657,7,8,0.45595693588256836,"[0.9999687671661377, -0.007901650853455067, 0.9974582195281982, -0.07125380635261536, 0.04991316422820091, 0.0019231371115893126]",1,-1.0,False,False
1771366602.461573,7,9,0.5116641521453857,"[0.9999287724494934, -0.011935778893530369, 0.999557614326477, -0.029741303995251656, -0.08798324316740036, 0.4056430160999298]",2,-1.0,False,False
1771366602.528487,7,10,0.5785782337188721,"[0.9991743564605713, -0.040627267211675644, 0.9964558482170105, 0.08411721885204315, -0.18930944800376892, 0.7092462182044983]",2,-1.0,False,False
1771366602.59012,7,11,0.6402113437652588,"[0.9965932965278625, -0.082473024725914, 0.9710103273391724, 0.2390376329421997, -0.21607661247253418, 0.8280537724494934]",2,-1.0,False,False
1771366602.6525307,7,12,0.7026219367980957,"[0.9926539063453674, -0.12098861485719681, 0.9206291437149048, 0.3904382288455963, -0.1586741954088211, 0.7371647357940674]",2,-1.0,False,False
1771366602.7169647,7,13,0.7670559883117676,"[0.9899513721466064, -0.14140823483467102, 0.8653621077537537, 0.5011470913887024, -0.040810830891132355, 0.48019400238990784]",2,-1.0,False,False
1771366602.7775605,7,14,0.8276517391204834,"[0.9907242059707642, -0.13588793575763702, 0.8324138522148132, 0.5541545152664185, 0.09589800983667374, 0.13718856871128082]",2,-1.0,False,False
1771366602.8427713,7,15,0.8928625583648682,"[0.9967723488807678, -0.08028032630681992, 0.8703171014785767, 0.49249178171157837, 0.4517626464366913, -0.8453813195228577]",0,-1.0,False,False
1771366602.9015837,7,16,0.9516749382019043,"[0.9993213415145874, 0.036835603415966034, 0.9658868312835693, 0.25896456837654114, 0.6929765343666077, -1.6324456930160522]",0,-1.0,False,False
1771366602.9637687,7,17,1.0138599872589111,"[0.9835047721862793, 0.1808820515871048, 0.9941946864128113, -0.10759638994932175, 0.7138371467590332, -1.9737638235092163]",0,-1.0,False,False
1771366603.0257208,7,18,1.0758121013641357,"[0.9542461037635803, 0.299022376537323, 0.8833901286125183, -0.4686383008956909, 0.4653068482875824, -1.740552544593811]",0,-1.0,False,False
1771366603.087771,7,19,1.137862205505371,"[0.9371442794799805, 0.3489421010017395, 0.7129032015800476, -0.7012624144554138, 0.04840044304728508, -1.111858606338501]",0,-1.0,False,False
1771366603.149912,7,20,1.2000033855438232,"[0.9485704302787781, 0.3165661692619324, 0.6034286022186279, -0.7974170446395874, -0.38276106119155884, -0.3391554057598114]",0,-1.0,False,False
1771366603.2120667,7,21,1.262157917022705,"[0.982309103012085, 0.18726679682731628, 0.6562005877494812, -0.7545865178108215, -0.9262340068817139, 0.9989355206489563]",2,-1.0,False,False
1771366603.2740254,7,22,1.3241167068481445,"[0.9994045495986938, -0.03450509533286095, 0.8590760827064514, -0.511847972869873, -1.2605558633804321, 2.119300365447998]",2,-1.0,False,False
1771366603.3354235,7,23,1.385514736175537,"[0.9571132659912109, -0.28971391916275024, 0.9989885687828064, -0.04496462270617485, -1.2671098709106445, 2.6763906478881836]",2,-1.0,False,False
1771366603.3993974,7,24,1.449488639831543,"[0.8721286058425903, -0.4892766773700714, 0.8900529742240906, 0.45585715770721436, -0.8419749140739441, 2.37827467918396]",2,-1.0,False,False
1771366603.461691,7,25,1.511782169342041,"[0.8187747001647949, -0.5741149187088013, 0.6461815237998962, 0.7631837129592896, -0.13657569885253906, 1.5163604021072388]",2,-1.0,False,False
1771366603.5249333,7,26,1.5750246047973633,"[0.8453829884529114, -0.5341606140136719, 0.48187923431396484, 0.8762376308441162, 0.6054855585098267, 0.4692532420158386]",2,-1.0,False,False
1771366603.588017,7,27,1.638108253479004,"[0.928872287273407, -0.37040022015571594, 0.4925285279750824, 0.87029629945755, 1.1976066827774048, -0.5768916010856628]",2,-1.0,False,False
1771366603.6487901,7,28,1.6988813877105713,"[0.9966252446174622, -0.08208571374416351, 0.7036312222480774, 0.7105653285980225, 1.7191004753112793, -2.0297513008117676]",0,-1.0,False,False
1771366603.7104323,7,29,1.7605235576629639,"[0.9605595469474792, 0.27807432413101196, 0.9615792632102966, 0.2745274603366852, 1.8424320220947266, -2.959028959274292]",0,-1.0,False,False
1771366603.7734241,7,30,1.8235154151916504,"[0.8303064703941345, 0.5573070645332336, 0.9679751992225647, -0.251045823097229, 1.1723144054412842, -2.208263397216797]",2,-1.0,False,False
1771366603.8355596,7,31,1.885650873184204,"[0.7456838488578796, 0.6662999391555786, 0.843744158744812, -0.536745548248291, 0.18371468782424927, -0.8762363195419312]",2,-1.0,False,False
1771366603.8980193,7,32,1.948110580444336,"[0.788604736328125, 0.6149004697799683, 0.8269549608230591, -0.5622681379318237, -0.8424174189567566, 0.5722318291664124]",2,-1.0,False,False
1771366603.9597383,7,33,2.009829521179199,"[0.9198748469352722, 0.39221200346946716, 0.9415448307991028, -0.3368876278400421, -1.7027325630187988, 1.913336157798767]",2,-1.0,False,False
1771366604.0221195,7,34,2.0722107887268066,"[0.9999475479125977, 0.010240121744573116, 0.9920130968093872, 0.12613511085510254, -2.1293931007385254, 2.626154899597168]",2,-1.0,False,False
1771366604.0838492,7,35,2.1339404582977295,"[0.91930091381073, -0.3935553729534149, 0.8088089227676392, 0.5880714654922485, -1.9202059507369995, 2.2346365451812744]",2,-1.0,False,False
1771366604.1466799,7,36,2.1967711448669434,"[0.7476211190223694, -0.6641255021095276, 0.5595217943191528, 0.8288156390190125, -1.2445456981658936, 1.1995145082473755]",2,-1.0,False,False
1771366604.2091463,7,37,2.25923752784729,"[0.6311643123626709, -0.7756491899490356, 0.45144668221473694, 0.8922981023788452, -0.3489278256893158, 0.05590396001935005]",2,-1.0,False,False
1771366604.2699902,7,38,2.3200814723968506,"[0.6507506370544434, -0.7592915296554565, 0.5392518639564514, 0.8421445488929749, 0.6013481616973877, -1.06261146068573]",2,-1.0,False,False
1771366604.3322163,7,39,2.382307529449463,"[0.7942596077919006, -0.6075785160064697, 0.7772441506385803, 0.6291990876197815, 1.4607387781143188, -2.118870973587036]",2,-1.0,False,False
1771366604.3946424,7,40,2.4447336196899414,"[0.9629889130592346, -0.26954108476638794, 0.9936386346817017, 0.11261530220508575, 2.2593727111816406, -3.4244024753570557]",0,-1.0,False,False
1771366604.4588823,7,41,2.5089735984802246,"[0.9797027707099915, 0.20045562088489532, 0.8281301259994507, -0.5605359077453613, 2.3584229946136475, -3.401698350906372]",0,-1.0,False,False
1771366604.5182161,7,42,2.568307399749756,"[0.8101596832275391, 0.586209237575531, 0.39037519693374634, -0.9206558465957642, 1.8139874935150146, -2.2537951469421387]",0,-1.0,False,False
1771366604.5801349,7,43,2.6302261352539062,"[0.6160306930541992, 0.787722110748291, 0.08512158691883087, -0.9963705539703369, 0.9589693546295166, -0.9074962139129639]",0,-1.0,False,False
1771366604.6401494,7,44,2.6902406215667725,"[0.539725661277771, 0.8418409824371338, 0.033564623445272446, -0.9994365572929382, -0.03453899919986725, 0.3827679753303528]",0,-1.0,False,False
1771366604.7034812,7,45,2.753572463989258,"[0.6272882223129272, 0.7787871956825256, 0.23592445254325867, -0.9717714190483093, -1.0358302593231201, 1.6694214344024658]",0,-1.0,False,False
1771366604.7676263,7,46,2.8177175521850586,"[0.8284555673599243, 0.5600547790527344, 0.6471133232116699, -0.7623938322067261, -1.911022424697876, 2.9699668884277344]",0,-1.0,False,False
1771366604.8279169,7,47,2.8780081272125244,"[0.991759181022644, 0.12811587750911713, 0.9939325451850891, -0.10999131202697754, -2.644094944000244, 4.40962028503418]",2,-1.0,False,False
1771366604.8957896,7,48,2.945880889892578,"[0.9217090010643005, -0.3878820836544037, 0.7226593494415283, 0.6912043690681458, -2.4726316928863525, 4.017422199249268]",2,-1.0,False,False
1771366604.953519,7,49,3.003610372543335,"[0.6825949549674988, -0.7307969331741333, 0.14333315193653107, 0.9896745085716248, -1.6855136156082153, 2.5777852535247803]",2,-1.0,False,False
1771366605.0161083,7,50,3.066199541091919,"[0.4892868995666504, -0.8721228837966919, -0.2259054332971573, 0.974149227142334, -0.6943532228469849, 1.1604851484298706]",2,-1.0,False,False
1771366605.0768528,7,51,3.126944065093994,"[0.4601198732852936, -0.8878567814826965, -0.3206084370613098, 0.9472118020057678, 0.36411696672439575, -0.17157939076423645]",2,-1.0,False,False
1771366605.1403322,7,52,3.1904234886169434,"[0.6078308820724487, -0.7940664887428284, -0.15562407672405243, 0.987816333770752, 1.3678783178329468, -1.5454272031784058]",2,-1.0,False,False
1771366605.202717,7,53,3.2528083324432373,"[0.8483649492263794, -0.5294118523597717, 0.2951965630054474, 0.9554365277290344, 2.1868996620178223, -3.0222253799438477]",2,-1.0,False,False
1771366605.264999,7,54,3.3150901794433594,"[0.9978679418563843, -0.06526525318622589, 0.862089991569519, 0.5067552328109741, 2.6518185138702393, -4.2429304122924805]",2,-1.0,False,False
1771366605.3269026,7,55,3.3769938945770264,"[0.8901341557502747, 0.45569851994514465, 0.9276652336120605, -0.3734128475189209, 2.5674543380737305, -4.550037384033203]",0,-1.0,False,False
1771366605.389685,7,56,3.4397761821746826,"[0.6189485192298889, 0.7854315638542175, 0.3876531422138214, -0.9218053221702576, 1.6597156524658203, -3.23823618888855]",0,-1.0,False,False
1771366605.4498508,7,57,3.4999420642852783,"[0.43213504552841187, 0.9018089175224304, -0.10372281074523926, -0.9946062564849854, 0.5327284336090088, -1.8004887104034424]",0,-1.0,False,False
1771366605.5121331,7,58,3.5622243881225586,"[0.43982985615730286, 0.8980811238288879, -0.32130178809165955, -0.9469768404960632, -0.6105993986129761, -0.4301804304122925]",0,-1.0,False,False
1771366605.5737088,7,59,3.623800039291382,"[0.631320059299469, 0.7755224108695984, -0.26762819290161133, -0.9635222554206848, -1.633996605873108, 1.0091801881790161]",0,-1.0,False,False
1771366605.635825,7,60,3.6859161853790283,"[0.8862630128860474, 0.46318235993385315, 0.0825156569480896, -0.9965897798538208, -2.3646442890167236, 2.5269529819488525]",0,-1.0,False,False
1771366605.6978238,7,61,3.747915029525757,"[0.9987172484397888, -0.05063421651721001, 0.7065004706382751, -0.7077125310897827, -2.889261245727539, 4.4245405197143555]",2,-1.0,False,False
1771366605.7602031,7,62,3.8102943897247314,"[0.8080743551254272, -0.5890805125236511, 0.9807877540588379, 0.19507789611816406, -2.7395410537719727, 5.041447639465332]",2,-1.0,False,False
1771366605.8210473,7,63,3.871138572692871,"[0.47139284014701843, -0.8819233775138855, 0.46209579706192017, 0.8868300318717957, -1.670799970626831, 3.748631477355957]",2,-1.0,False,False
